PRODUCT_NO,PRODUCT_NO_CHASSIS,PRODUCT_NO_ENGINE,AUCTION_STAGE,AUCTION_NO,NO,PRODUCT_NAME,PRODUCT_BRAND,PRODUCT_GENERATION,PRODUCT_GEAR,PRODUCT_YEAR,PRODUCT_COLOR,PRODUCT_CC,PRODUCT_REGISTRATION,PRODUCT_PROVINCE,PRODUCT_MILEAGE,PRODUCT_CATEGORY,PRODUCT_CATEGORY_SUB,PRODUCT_NOTE,STATUS,PRICE_START,PRICE_SERVICE,PRICE_TRANSPORT,PRODUCT_DATE_TAX,NF_PRODUCT_PICTURE,PRODUCT_GRADE,NF_LOT_ID,SELLER_GROUP,PRODUCT_CAREG_ID,note_txt,ODB_STATUS,last_update,bank,link,id,auction_no,stage_no,stage_location,stage_type,deposit_amount,tag_per_user,event_type,invoice_type,status
1001,MRHFC6630HT101438,R18Z17001888,1,2056,1907516,HONDA CIVIC FC 1.8 EL,HONDA,CIVIC FC 1.8 EL,A/T,2017,ดำ,1799 cc,6กฆ 1705,กรุงเทพมหานคร,157720,ยานพาหนะ,รถยนต์,ปีผลิต 2017  เก็บค่าเช็คต้นและค่าบริการอื่นๆ 100 บ. เครื่องยนต์ชำรุด เบาะไฟฟ้าชำรุด ภาษีขาดเกิน3ปี โอนกรรมสิทธิ์ก่อนระยะเวลาที่กำหนดไว้ในหนังสือมอบอำนาจ หากพ้นกำหนดจะไม่รับคืนและไม่รับผิดชอบ ใดๆทั้งสิ้น,,295000,12000,3500,2565-03-28,downloads/SiamInter_auction/SiamInter_auction-07_05_2025/image/1-6กฆ 1705-กรุงเทพมหานคร/,C,244052,CIMB,102,เบาะไฟฟ้าชำรุด  เครื่องยนต์ชำรุด  โอนกรรมสิทธิ์ก่อนระยะเวลาที่กำหนดไว้ในหนังสือมอบอำนาจ หากพ้นกำหนดจะไม่รับคืนและไม่รับผิดชอบ ใดๆทั้งสิ้น  รถยนต์นั่งส่วนบุคคลไม่เกินเจ็ดคน (รย.1),odb,-,,downloads/SiamInter_auction/SiamInter_auction-07_05_2025/pdf/1-6กฆ 1705-กรุงเทพมหานคร/,2380,2056,1,พิษณุโลก,car,0,1,NORMAL,NF,enable
1002,MRHGE8830CP206522,L15A7CP19811,1,2056,1907517,HONDA JAZZ 1.5 S I-VTEC,HONDA,JAZZ 1.5 S I-VTEC,A/T,2012,ขาว,1497 cc,กง 3201,พิจิตร,225028,ยานพาหนะ,รถยนต์,ปีผลิต 2011  เก็บค่าเช็คต้นและค่าบริการอื่นๆ 100 บ. โอนกรรมสิทธิ์ก่อนระยะเวลาที่กำหนดไว้ในหนังสือมอบอำนาจ หากพ้นกำหนดจะไม่รับคืนและไม่รับผิดชอบ ใดๆทั้งสิ้น,,78000,12000,4500,2568-02-08,downloads/SiamInter_auction/SiamInter_auction-07_05_2025/image/2-กง 3201-พิจิตร/,B,243478,CIMB,102,โอนกรรมสิทธิ์ก่อนระยะเวลาที่กำหนดไว้ในหนังสือมอบอำนาจ หากพ้นกำหนดจะไม่รับคืนและไม่รับผิดชอบ ใดๆทั้งสิ้น  รถยนต์นั่งส่วนบุคคลไม่เกินเจ็ดคน (รย.1),odb,-,,downloads/SiamInter_auction/SiamInter_auction-07_05_2025/pdf/2-กง 3201-พิจิตร/,2380,2056,1,พิษณุโลก,car,0,1,NORMAL,NF,enable
